H1,H2,H3,H4,S1,S2,S3,S4,V1,V2,V3,V4,LabelName
0,11235,0,0,1836,1878,5681,1840,870,1361,330,8674,Internet
0,15450,426,0,5372,2322,2966,5216,4588,1533,373,9382,Camara
0,13806,0,0,741,210,514,12341,1733,1642,304,10127,Musica
0,17423,0,0,9456,612,2983,4372,2785,2071,285,12282,Gestor_Inteligente
2020,5461,6793,0,3079,5645,4497,1053,4144,898,198,9034,Galaxy_Store
0,14921,13,0,8821,1473,1317,3323,3566,1869,361,9138,Relogio
1373,16426,289,0,11300,597,2816,3375,5663,755,203,11467,Ferramentas
0,15991,9,0,10274,1223,1879,2624,1907,3323,341,10429,Radio
0,15336,15,0,9470,2990,2186,705,1085,3971,566,9729,S_Planner
282,11611,2839,0,7869,2800,945,3118,2024,2681,333,9694,Email
0,12402,0,0,1806,258,247,10091,1916,1043,458,8985,Definicoes
1295,13094,131,0,2827,2199,931,8563,2543,627,182,11168,S_Health
0,3813,11427,0,1187,5618,4799,3636,3032,1049,476,10683,Video
0,11978,0,0,214,654,1353,9757,2046,916,239,8777,Calculadora
0,12980,0,0,533,692,651,11104,1877,1283,342,9478,S_Voice
4196,8427,1017,0,2812,3094,2389,5345,4498,926,536,7680,Chrome
14,12196,0,0,665,443,851,10251,2680,744,320,8466,Telefone
9091,2755,580,0,2241,7386,1810,989,2362,609,146,9309,Contactos
5610,8420,0,0,5727,1063,1304,5936,2834,868,265,10063,Galeria
0,12535,0,0,1769,261,143,10362,2290,922,454,8869,Definicoes
0,11556,0,0,653,322,1025,9556,2306,577,321,8352,Telefone
0,11865,0,0,1816,2102,5801,2146,1006,1953,341,8565,Internet
0,3806,11322,0,1160,5934,4604,3430,2884,1078,457,10709,Video
8850,3163,755,0,2143,7796,1921,908,3076,324,125,9243,Contactos
5573,9302,0,0,5739,989,1709,6438,3614,965,285,10011,Galeria
9761,5317,294,0,8182,4773,1632,785,3889,407,137,10939,Mensagem
0,13216,0,0,761,205,637,11613,1023,1743,329,10121,Musica
0,14362,29,0,9298,2806,1647,640,397,3841,570,9583,S_Planner
0,12852,0,0,607,582,217,11446,1890,1241,324,9397,S_Voice
0,12084,0,0,220,566,948,10350,2246,943,258,8637,Calculadora
0,13606,434,0,5361,2173,2901,3605,1851,2486,397,9306,Camara
366,10942,2728,0,7764,3177,1609,1486,1159,2978,355,9544,Email
0,14868,15,0,10233,2237,1375,1038,801,3373,314,10395,Radio
0,17161,0,0,8354,642,2311,5854,3529,1449,243,11940,Gestor_Inteligente
2102,4458,6538,0,3066,5511,3589,932,2788,1154,188,8968,Galaxy_Store
0,15434,10,0,8720,953,2142,3629,4525,1489,458,8972,Relogio
